Dialogueacts_level1,Dialogueacts_level2,Dialogueacts_level3,Dialogueacts_level4,Dialogueacts_level5,slot0,slot1,slot2,slot3,slot4,slot5
Answer.change,,,,,Bowling must be the one of the most boring sports to watch.,"I think any Championship game would be exciting, including bowling.",,,,
Answer.joking_sarcastic,,,,,Bowling must be the one of the most boring sports to watch.,Who actually likes watching bowling?,,,,
Answer.joking_sarcastic,,,,,Bowling must be the one of the most boring sports to watch.,Who could find such a repetitive sport interesting in the least?,,,,
Answer.joking_sarcastic,,,,,Bowling must be the one of the most boring sports to watch.,Who could stand to watch a bowling game?,,,,
Answer.joking_sarcastic,,,,,Bowling must be the one of the most boring sports to watch.,Does anyone actually like to watch bowling? I haven't met a single person who does.,,,,
Answer.elaboration,,,,,Bowling must be the one of the most boring sports to watch.,Yeah? What sports do you actually find interesting?,,,,
Answer.change,,,,,Bowling must be the one of the most boring sports to watch.,"If I was given a choice of watching a game of bowling or a wall of drying paint, I'd choose to watch paint dry. That is literally how boring it is to watch bowling.",,,,
Answer.change,,,,,Bowling must be the one of the most boring sports to watch.,I love bowling! It's so much fun because it's a physical sport but it's also relaxing.,,,,
Answer.continuation,,,,,Bowling must be the one of the most boring sports to watch.,"What? You don't find it thrilling to see the same ball knock the same pins down, again and again?",,,,
Answer.joking_sarcastic,,,,,Bowling must be the one of the most boring sports to watch.,Do you think bowlers get tired of it too?,,,,
Answer.continuation,,,,,Bowling must be the one of the most boring sports to watch.,"I agree, bowling is so boring! It's the same thing in and out.",,,,
Answer.elaboration,,,,,Bowling must be the one of the most boring sports to watch.,Watching bowling is like watching paint dry.,,,,
Answer.change,,,,,Bowling must be the one of the most boring sports to watch.,"I like bowling, actually. It's a sport that requires precise aiming and good dexterity.",,,,
Answer.continuation,,,,,Bowling must be the one of the most boring sports to watch.,"I can't think of a single sport more boring than bowling. Not NASCAR, where the cars go in circles for literal hours. Not golf, where the ball doesn't even get to make a big noise as it knocks something over. It's definitely bowling.",,,,
Answer.change,,,,,Bowling must be the one of the most boring sports to watch.,"Oh yeah! During the bowling game, I fell into a coma, I was so bored!",,,,
Answer.elaboration,,,,,Bowling must be the one of the most boring sports to watch.,Bowling is like yawning: Slow and boring.,,,,
Answer.elaboration,,,,,Bowling must be the one of the most boring sports to watch.,"Watching other people bowl is like watching other people eat. Someone might be having a good time, but it isn't the watcher.",,,,
Answer.change,,,,,Bowling must be the one of the most boring sports to watch.,Bowling is super boring.  It takes two minutes for the ball to go down the alley.,,,,
Answer.continuation,,,,,Bowling must be the one of the most boring sports to watch.,"Yeah, because all the other sports are so much better.",,,,
Answer.continuation,,,,,Bowling must be the one of the most boring sports to watch.,"I hate bowling. It's so boring and uninteresting, I fall asleep every time I watch it.",,,,
Answer.elaboration,,,,,Bowling must be the one of the most boring sports to watch.,"Yeah, I agree, bowling would be boring, but what would make it more interesting?",,,,
Answer.joking_sarcastic,,,,,Bowling must be the one of the most boring sports to watch.,"What sport isn't boring to watch? If you don't play it, what's the point?",,,,
Answer.continuation,,,,,Bowling must be the one of the most boring sports to watch.,"Yeah, it is a sport that is much funner doing than watching.",,,,
Answer.elaboration,,,,,Bowling must be the one of the most boring sports to watch.,What kinds of sports do you like to watch? What is it about bowling that you find so disinteresting?,,,,
Answer.elaboration,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,"Oh yeah, a physical collection of CDs are like trophies you can display on your wall.",,,,
Answer.elaboration,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,What CDs have you collected?,,,,
Answer.joking_sarcastic,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,Who doesn't like browsing a record store? I can't imagine anybody who doesn't.,,,,
Answer.change,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,"Oh, yeah. I love collecting CDs! I have, like, a million of them! My room's a veritable CD warehouse!",,,,
Answer.change,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,I really liked looking through my music collection and holding something in my hand.  That is the best way to listen to music.,,,,
Answer.elaboration,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,"Looking through digital music is kind of the same as looking at a juke box, but different.",,,,
Answer.change,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,"I love physical copy of music, its so colorful and neat.",,,,
Answer.continuation,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,"That's awesome, I just loooove having to spend half my tiny apartment storing little plastic cases.",,,,
Answer.joking_sarcastic,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,Who doesn't love having a bunch of cds to hang up on your wall?,,,,
Answer.continuation,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,"Nah, I disagree. CDs are cumbersome and heavy.",,,,
Answer.joking_sarcastic,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,Why would people get rid of their CD collection?  It is great having a library off of the computers in case something happens with the digital system.,,,,
Answer.continuation,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,I dislike physical copies because I always scratch them?,,,,
Answer.change,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,"Yeah, I agree! I love collecting physical CDs.",,,,
Answer.continuation,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,Digital collections stink.  I hate wading through tons of information just to find a decent song and sometimes I want to get off the computer we are so dependent on all the time.,,,,
Answer.elaboration,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,What is your favorite genre of music?,,,,
Answer.joking_sarcastic,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,I wonder who decided digital was best?,,,,
Answer.continuation,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,"Oh yeah, my favorite part about physical CDs is how convenient it is to switch out the disks every time I want to hear a new song.",,,,
Answer.joking_sarcastic,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,Who still collects CDs?,,,,
Answer.change,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,I know you don't get to pick up an album and smell the dusty covers.,,,,
Answer.continuation,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,"Flipping through a huge list of music, you don't really look at any of it.",,,,
Answer.elaboration,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,"Browsing a digital music collection is like going to the strip club. You can watch, but you can't touch. Not nearly as satisfying.",,,,
Answer.joking_sarcastic,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,Who doesn't love the way things sound on vinyl?,,,,
Answer.change,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,"I LOVE the feeling of ruffling through stacks and stacks of CDs, looking at the cover art and holding it in my hand!",,,,
Answer.elaboration,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,Do you have a very big record or CD collection?  What kind of bands are in it?,,,,
Answer.change,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,"Yeah, I know everyone uses chatbots.",,,,
Answer.joking_sarcastic,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,If it's doing all of that is it really just a chat bot?,,,,
Answer.joking_sarcastic,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,Is there anyone who hasn't had an app crash on them?,,,,
Answer.continuation,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,"Yeah, I really want to trust a chatbot to handle my apps.",,,,
Answer.elaboration,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,Chatbots are like little humans.,,,,
Answer.joking_sarcastic,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,What can't chatbots do?,,,,
Answer.change,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,Chat bots that can coordinate multiple tasks will change the entire world.,,,,
Answer.continuation,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,Don't you mean take over the world and then change the way apps use people?,,,,
Answer.continuation,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,Chatbots can actually make you less efficient and less accurate by bringing in too many tasks that only distract the user.,,,,
Answer.change,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,Chatbots can do anything! Soon they'll be just like human beings!,,,,
Answer.elaboration,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,Oh? How do you think they'll do it?,,,,
Answer.continuation,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,Some apps are just a nightmare to use because they always crash.,,,,
Answer.elaboration,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,I guess it'll be like having your own digital butler.,,,,
Answer.joking_sarcastic,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,Who wouldn't love to have chatbots do their work for them?,,,,
Answer.joking_sarcastic,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,Who knew that coordinating chatbots would someday be an option that would assist multitaskers multitask even more?,,,,
Answer.continuation,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,"Of course, because everyone likes talking to a chatbot.",,,,
Answer.continuation,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,I disagree. I don't think it'll change much.,,,,
Answer.change,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,I agree! They're going to revolutionize the way we do things.,,,,
Answer.change,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,Apps can be a really handy tech tool.,,,,
Answer.elaboration,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,Do you use an android or apple operating system?,,,,
Answer.elaboration,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,It will be like going from the steam engine to a flying car.,,,,
Answer.elaboration,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,Have you used a multitasking chatbot? Did you find that it helped make your time more productive?,,,,
Answer.joking_sarcastic,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,"I mean yeah, everyone uses chatbots, right?",,,,
Answer.change,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,Multitasking can be a challenge and using chatbots to coordinate multiple tasks will benefit a lot of people.,,,,
Answer.elaboration,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,"I've been thinking of buying one, they seem so cool and so useful around the house. Do you own one of these? What do you think of them?",,,,
Answer.joking_sarcastic,,,,,Do you think Google Home can actually catch up to Amazon Alexa?,Who doesn't love being spied on by robots?,,,,
