Dialogueacts_level1,Dialogueacts_level2,Dialogueacts_level3,Dialogueacts_level4,Dialogueacts_level5,slot0,slot1,slot2,slot3,slot4,slot5
Answer.continuation,,,,,Bowling must be the one of the most boring sports to watch.,"Yeah, because all the other sports are so much better.",,,,
Answer.elaboration,,,,,Bowling must be the one of the most boring sports to watch.,"Watching other people bowl is like watching other people eat. Someone might be having a good time, but it isn't the watcher.",,,,
Answer.joking_sarcastic,,,,,Bowling must be the one of the most boring sports to watch.,"What sport isn't boring to watch? If you don't play it, what's the point?",,,,
Answer.continuation,,,,,Bowling must be the one of the most boring sports to watch.,"What? You don't find it thrilling to see the same ball knock the same pins down, again and again?",,,,
Answer.joking_sarcastic,,,,,Bowling must be the one of the most boring sports to watch.,Who actually likes watching bowling?,,,,
Answer.joking_sarcastic,,,,,Bowling must be the one of the most boring sports to watch.,Who could find such a repetitive sport interesting in the least?,,,,
Answer.elaboration,,,,,Bowling must be the one of the most boring sports to watch.,Watching bowling is like watching paint dry.,,,,
Answer.elaboration,,,,,Bowling must be the one of the most boring sports to watch.,Bowling is like yawning: Slow and boring.,,,,
Answer.continuation,,,,,Bowling must be the one of the most boring sports to watch.,"I can't think of a single sport more boring than bowling. Not NASCAR, where the cars go in circles for literal hours. Not golf, where the ball doesn't even get to make a big noise as it knocks something over. It's definitely bowling.",,,,
Answer.change,,,,,Bowling must be the one of the most boring sports to watch.,"Oh yeah! During the bowling game, I fell into a coma, I was so bored!",,,,
Answer.change,,,,,Bowling must be the one of the most boring sports to watch.,"If I was given a choice of watching a game of bowling or a wall of drying paint, I'd choose to watch paint dry. That is literally how boring it is to watch bowling.",,,,
Answer.change,,,,,Bowling must be the one of the most boring sports to watch.,Bowling is super boring.  It takes two minutes for the ball to go down the alley.,,,,
Answer.joking_sarcastic,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,Who doesn't like browsing a record store? I can't imagine anybody who doesn't.,,,,
Answer.elaboration,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,"Browsing a digital music collection is like going to the strip club. You can watch, but you can't touch. Not nearly as satisfying.",,,,
Answer.elaboration,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,"Looking through digital music is kind of the same as looking at a juke box, but different.",,,,
Answer.joking_sarcastic,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,I wonder who decided digital was best?,,,,
Answer.joking_sarcastic,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,Who doesn't love the way things sound on vinyl?,,,,
Answer.change,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,"I LOVE the feeling of ruffling through stacks and stacks of CDs, looking at the cover art and holding it in my hand!",,,,
Answer.continuation,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,"Flipping through a huge list of music, you don't really look at any of it.",,,,
Answer.change,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,I know you don't get to pick up an album and smell the dusty covers.,,,,
Answer.continuation,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,"That's awesome, I just loooove having to spend half my tiny apartment storing little plastic cases.",,,,
Answer.elaboration,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,"Oh yeah, a physical collection of CDs are like trophies you can display on your wall.",,,,
Answer.continuation,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,"Oh yeah, my favorite part about physical CDs is how convenient it is to switch out the disks every time I want to hear a new song.",,,,
Answer.change,,,,,Browsing a digital collection of music is just not the same as browsing a collection of records or CDs.,"Oh, yeah. I love collecting CDs! I have, like, a million of them! My room's a veritable CD warehouse!",,,,
Answer.change,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,Chat bots that can coordinate multiple tasks will change the entire world.,,,,
Answer.elaboration,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,It will be like going from the steam engine to a flying car.,,,,
Answer.joking_sarcastic,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,"I mean yeah, everyone uses chatbots, right?",,,,
Answer.continuation,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,"Yeah, I really want to trust a chatbot to handle my apps.",,,,
Answer.joking_sarcastic,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,What can't chatbots do?,,,,
Answer.elaboration,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,I guess it'll be like having your own digital butler.,,,,
Answer.continuation,,,,,Chatbots that can coordinate multiple tasks will change the way that people use apps.,Don't you mean take over the world and then change the way apps use people?,,,,
